answer,choices,question,subject
1,"[Chimps can remember all of their friends., Chimps have better memories than humans., Chimps do things to improve their memories., Chimps can do many things better than humans.]","Do you have a good memory? Maybe you remember better than all of your friends. But even if you have a short-term memory, it's better than a chimpanzee's , right? Well, you may be wrong. Tetsuro Matszawa, a scientist from Kyoto University, Japan has showed how chimps have far better memories than humans. ""We learn that chimps have great memories by doing tests,"" he told The Guardian ""You can do things to improve your memory."" How do chimps have better memories than us? Scientists tested four chimps and human volunteers. They showed them five numbers on a computer screen. Chimps and human volunteers had to remember the numbers correctly. But to make it hard, the numbers disappeared  after seven tenths of a second. Then they will reduce  the time to two tenths of a second. While humans began to make mistake after mistake, the young chimps still did very well. Why do they have better memories? We share 98.8 percent of our DNA with chimps. But during evolution , we lost some of our shared abilities. As humans learned new skills, like language, we had to lose some of our memory skills to make room in our brains. ""To get something, we had to lose something,"" said the scientist. Chimps need good memories to survive . When a chimp looks up at the big tree and pick a banana, he must remember where he saw it as he fights off competition from other animals. What did the scientist's study find?",""
1,"[looking slim is a symbol of having a large fortune, being thin is viewed as a much desired quality, the Duchess of Windsor is regarded as a woman of virtue, religious people are not necessarily virtuous]","No woman can be too rich or too thin. This saying often attributed to(...) the late Duchess   of Windsor represents much of the strange spirit of our times. Being thin is assumed as such a virtue. The problem with such a view is that some people actually attempt to live by it. I myself have fantasies of slipping into narrow designer clothes. Consequently, I have been on a diet for the better --or worse-- part of my life. Being rich wouldn't be bad either, but that won't happen unless an unknown   dies suddenly in some distant land, leaving me millions of dollars. Where did we go off the track? When did eating butter become a sin , and a little bit of extra flesh unappealing, if not unpleasant? All religions have certain days when people stop from eating and overeating is one of Christianity's seven deadly sins. However, until quite recently, most people had a problem getting enough to eat. In some religious groups, wealth was a symbol of probable high morals, and fatness a sign of wealth and well-being. Today the opposite is true. We have shifted to thinness as our new mark of virtue. The result is that being fat -- or even only somewhat overweight -- is bad because it implies a lack of moral strength. Our obsession with thinness is also fueled by health concerns. It is true that in this country we have more overweight people than ever before, and that in many cases, being overweight correlates with an increased risk of heart and blood vessel disease. These diseases, however, may have as much to do with our way of life and our high-fat diets as with excess weight. And the associated risk of cancer in the digestive system may be more of a dietary problem -- too much fat and a lack of fiber -- than a weight problem. The real concern, then, is not that we weigh too much, but that we neither exercise enough nor eat well. Exercise is necessary for strong bones and both heart and lung health. A balanced diet without a lot of fat can also help the body avoid many diseases. We should surely stop paying so much attention to weight. Simply being thin is not enough. It is actually dangerous if those who get (or already are) thin think they are automatically healthy and thus free from paying attention to their overall life-style. Thinness can be pure vain glory. In the eyes of the author, an odd phenomenon nowadays is that  _  .",""
0,"[she was not accepted by the local people, she was poor in medical skills, there were few patients in the town, the town had other good hospitals]","As the only physician in a small local clinic and hospital, Katrina Poe sees dozens of patients on any given day. She's on call at the hospital in Kilmichael every day, and she gets little time with her sons, aged 3 and 3 months. But the country doctor doesn't complain about her job. It's the one she chose for herself 25 years ago while she was a fifth-grader in Kilmicahael. The daughter of two workers in a town that had produced only two other doctors, Poe might not have been expected to go to college at all, let alone medical school. But it was a challenge at first, being the town's first female and first black doctor. She even had patients who refused to see her at first. But a lot of those patients who were unwilling in the beginning are now some of her most favorite patients and have accepted her, finally. Many patients, in fact, now refuse to seek health care elsewhere. Though she's working at least 80 hours a week, Poe is sorry that she sometimes has to turn patients away. ""I just can't see everybody,"" she says. ""I'm seeing patients after hours, so it's just very busy.""  In addition to her work at the hospital and clinic, Poe cares for all residents of the local nursing home and the local mental health facility during monthly visits. ""This town and the little hospital are fortunate to have her,"" says Calvin Johnson, Poe's husband. He says it is without a doubt ""the love and support of the people"" that make living in Kilmichael worthwhile for the family. In recognition of her services to rural medicine, the Texas-based physician staffing firm Staff Care Inc. named Poe, 35, the ""2005 Country Doctor of the Year."" When Katrina Poe began her work at the beginning, it was difficult because   _  .",""
3,"[they have found the fundamental cause of colds, they have managed to wipe out the cold viruses, they have meant to experiment more, they have made much progress in dealing with colds]","Dr. Jack M. Gwaltney, Jr. a professor at the University Of Virginia School Of Medicine infected six student volunteers with virus, the most common cause of colds. A few days later, when they were coughing and sneezing, he gathered 37 more people and divided them into three groups. Group 1 members spent three days and nights in the same room with one of the infected students, separated by a screen so they couldn't touch one another. Group 2 sat around a table while an infected volunteer talked, coughed and sang to them. Group 3 held hands with an infected student for ten seconds, and then touched their own noses or eyes. Although most scientists at the time, the mid-70s, believed colds were spread by virus-laden droplets spread through the air when infected people coughed or sneezed, Gwaltney suspected physical contact might play an important role. Sure enough, of the 15 people who had touched a student volunteer, 11 became infected--compared with only one of those who had been sitting at the table, and none who had spent three days and nights together. ""The best evidence we have is that hand-to-hand contact is the most efficient way of transmitting virus,"" says Gwaltney. The study was one of a series that helped establish Gwaltney's reputation as a leading authority. Dr. Robert Couch says, ""It would not be inappropriate to call him Mr. Common Cold."" When Gwaltney is asked how close scientists are to finding a cure, he replies: ""If you mean 'get rid of', I don't think we're going to be able to do that with cold viruses any time soon. But if you look in the dictionary, you'll see that 'cure' is explained as a successful treatment. And we're not just getting more effective at treating the symptoms  --we're getting at the root cause too. "" When Dr. Gwaltney gives a reply in the end of the passage, he means that  _  .",""
0,"[Chinese culture, Chinese tradition, English flexibility, Chinese polluted environment]","I've been living in China for a while -- long enough to observe the long-term deterioration   of my own native language abilities, as well as those of my fellow English speakers. This deterioration can take different forms, one of which is the non-standard usage of the words. Its source is, specifically, Chinese culture, and its target is native English speakers. Below I give some of the common ways that the Chinese environment strikes down the native speaker's linguistic competence   . Net bar: In Chinese, they're called """", This is fine. We generally call them ""Internet cafe"" in English. The Chinese seem to think that """" should be translated as ""net bar"" in English, and many careless foreigners have even been misled by this idea. Name card: In the English-speaking world, business people have lots of business meetings to discuss business. On these occasions, business people exchange specially printed pieces of paper known as business cards. In China everyone calls them ""name cards"", because in Chinese they are called """" and ""name card"" is a more direct translation . Bean curd. It's called ""tofu,"" OK! This English word comes from Chinese. I know all dictionaries sold in China will tell you """" is ""bean curd"" in English and that may represent the two characters nicely, but ""bean curd"" is more a definition than a comfortable translation. And yet some foreigners start saying ""bean curd"" rather than tofu. Deplorable  ! I think you see the pattern. The normal native way of saying something is replaced by a more unnatural way of saying it using other English words. If you've been living in China for a while and find yourself using all of these, you might be on dangerous ground. You're going to start making a fool of yourself back home. Look out! Resist Chinglish attempts at destroying your own command of your mother tongue! What is the main cause of the non-standard usage of the words by native English speakers?",""
2,"[Her classmates., Her parents., Her friends., Her grandparents.]","My name is Li Jing. Today let me show you around my community. In front of my apartment  , there is a very small garden with a table, four chairs and some flowers. I love taking a walk in the garden in summer. After getting out of the garden, I can get to a big market soon. I walk past the market when I go to work every day. There are fresh vegetables, fruit and meat there. I often buy some fresh fruit there with my friends. After passing the market, I will be near the main road  . There are a lot of shops on both sides of the road, like shoe shops, clothes shops ... After walking straight along the main road for fifteen minutes, I can see a bus stop. I only need to pay 0.5 yuan, and then I can go almost   anywhere. That's very cheap. I feel very happy to live in a community like this. Who does Li Jing often go to the market with?",""
1,"[the other driver was contributorily negligent., the collision would have occurred even if Parnell had not been intoxicated., because of his intoxication he lacked the mens rea needed for manslaughter., driving while intoxicated requires no mens rea and so cannot be the basis for misdemeanor manslaughter.]","One evening, Parnell had several drinks and then started to drive home. As he was proceeding down Main Boulevard, an automobile pulled out of a side street to his right. Parnell's car struck this automobile broadside. The driver of the other car was killed as a result of the collision. A breath analysis test administered after the accident showed that Parnell satisfied the legal definition of intoxication. If Parnell is prosecuted for manslaughter, his best chance for acquittal would be based on an argument that ",""
1,"[$4,720, $5,310, $5,900, $5,700]","Still seeking a destination for your long summer holidays? There is a good place which may be your favorite option. Arts of Hope is an overnight performing arts summer camp in Saint Paul, Minnesota, the USA for kids aged 10 and older from around the world. More than just a performing arts camp, Arts of Hope offers participants a unique opportunity to live with kids from other cultures while learning and performing music from many countries. Each summer, up to 75 children venture to Minnesota from Europe, Asia, Africa, Latin America, the Middle East, and the US. They arrive as strangers but soon become friends as they learn popular songs and dances from each other's cultures. The lessons learned during these six weeks are profound. The friendships are enduring. And the stories are inspirational. Taking part in the Arts of Hope camp is a life-changing experience. DATES The Arts of Hope 2013 session will run from June 17 to July 30. Because Arts of Hope is a global camp, it is impossible for us to schedule the program to fit all the school schedules of all the schools in the world. Therefore, we understand that some participants may need to arrive late or leave early. Don't let that stop you from applying! We are happy to make special arrangements as needed. Just send us an email to explain your scheduling challenges. We are happy to arrange a special study room for late arrivals to make up for the missed lessons. PARTICIPANT FEE For the 2013 summer, the fee for new, first-time participants is $2,950, subject to the special discounts offered below. SPECIAL DISCOUNTS If you apply before February 28, you can get a special fee reduction of $100. Also, there is a 20% fee discount for additional participants from your family if you have a brother or sister who is a Arts of Hope participant. The discount applies to the second, third, and any other additional siblings attending in the same year from the same family. Apply early to assure your place! Please sign up now! If you and your sister apply for the first time on May 16, how much will both of you pay in total?",""
2,"[Children, Adults, Both A and B, Nobody]","The latest colorful 3D cartoon movie, Zootopia, has become a great success. It has not only won the hearts of children but also drawn the attention of adults. The film tells about a rabbit called Judy who was born in carrot farmers. All her life, she's dreamed of being a police officer and finally leaves for Zootopia, a beautiful modern city, to go for her dream. It's a place where, according to her understanding, ""anyone can be anything."" At first, she is put on parking duty, because nobody believes a rabbit can become a great policewoman compared to other big and strong predator animals .While on duty, she gets to know a sly-looking fox, Nick . They once misunderstand each other and have words with each other. But they work together to solve a secret _ successfully in the end . From the movie we also can get a clear and powerful message: prejudice , in any form, is a terrible thing. We should say no to it. Luckily, we can see both predators and prey-predators  can live in peace in Zootopia finally. Anyway, Zootopia is a great piece of work with important life lessons: life's a little bit messy, and we all make mistakes;no matter what type of animal you are, change starts with you. So stick to your dream and work for it. You know, ""everything is possible."" Who loves to see the latest cartoon movie Zootopia?",""
3,"[to persuade you to explore the depths of the ocean, to stress the importance of the undersea exploration, to make you believe that the undersea exploration is better, to tell some differences between two kinds of explorations]","As in the field of space travel, new technologies continue to appear in undersea exploration. They share a number of similarities with each other -- as well as some important differences. Manned submersibles  , like spaceships, must maintain living conditions in an unnatural environment. While a spaceship must simply be sealed against the vacuum space, a submersible must be able to bear extreme pressure if it is not to break up in deep water. In exploring space, unmanned vehicles were employed before astronauts. In undersea exploration, on the other hand, men paved the way, and only recently have unmanned remote-operated vehicles (ROVs) been put to use. One reason for this is that communicating with vehicles in orbit is much easier than talking to those underwater. A vacuum is an ideal medium for radio communications, but underwater communications are limited to much slower sound waves. Thus, most undersea vehicles -- particularly ROVs -- operate at the end of long ropes.  For a similar reason, knowing where you are undersea is much more difficult than in space. A spaceship's position can be located by following its radio signal, or by using telescopes and radar. For an undersea vehicle, however, a special network of sonar  devices must be laid out in advance on the ocean floor in the area of a dive to locate the vehicle's position. Though undersea exploration is more challenging than outer space in a number of respects, it has a distinct advantage: going to the ocean depths doesn't require the power necessary to escape Earth's gravity. Thus, it remains far less expensive. The purpose of the passage is   _  .",""
0,"[Roosevelt and Churchill did not always agree with each other, over two differences between Churchill and Roosevelt were mentioned, Churchill urged Roosevelt to give up some of its colonies, the differences between Roosevelt and Churchill had an effect on their cooperation]","History is full of examples of leaders joining together to meet common goals. But rarely have two leaders worked together with such friendship and cooperation as American President Franklin Roosevelt and British Prime Minister Winston Churchill. They both were born in wealthy families and were active in politics for many years. Both men loved the sea and the navy,history and nature. Roosevelt and Churchill first met when they were lowerlevel officials in World War One. But neither man remembered much about that meeting. However,as they worked together during the Second World War they came to like and trust each other. Roosevelt and Churchill exchanged more than one thousand seven hundred letters and messages during five and a half years. They met many times,at large national gatherings and in private talks. But the closeness of their friendship might be seen best in a story told by one of Roosevelt's close advisors,Harry Hopkins. Hopkins remembered how Churchill was visiting Roosevelt at the White House one day. Roosevelt went into Churchill's room in the morning to say hello. But the president was shocked to see Churchill coming from the washing room with no clothes at all. Roosevelt immediately apologized to the British leader for seeing him naked. But Churchill reportedly said: ""The Prime Minister of Great Britain has nothing to hide from the president of the United States."" And then both men laughed. The United States and Great Britain were only two of several nations that joined together in the war to resist Hitler and his Allies. In January,1942,twentysix of these nations signed an agreement promising to fight for peace,religious freedom,human rights,and justice. The three major Allies,however,were the most important for the war effort: the United States,Britain,and the Soviet Union. Yet,Churchill and Roosevelt disagreed about when  to attack Hitler in western Europe. And Churchill resisted Roosevelt's suggestions that Britain give up some of its colonies. But in general,the friendship between Roosevelt and Churchill,and between the United States and Britain led the two nations to cooperate closely. We can know from the passage that  _  .",""
0,"[Happy, Worried, Excited, Nervous]","When we are unfamiliar with something, we may feel nervous and fearful. The help of others is a good way to make us pull through.   I write for a big newspaper, and I wanted to write a story about parachute  jumping. To make it a realistic as well as exciting story, I decided that I first had to make a jump myself. Unfortunately, I am not good at any sport of any kind, let alone parachute jumping.   My friend Mr. Smith was willing to give me a hand. He took me to a ground school. The first day's training included several hours of instruction but not my first drop from an airplane. For this, I had to wait until the following morning.   The next morning, after a hurried, anxious breakfast, I was taken to the airfield. There, two heavy parachutes were put on my back. Then I was asked to make my way to a small plane which had just stopped slowly on the runway.   Once on the plane, it was soon climbing. I began to feel nervous. As we reached one thousand meters, Harry, my teacher, hooked  a line from my parachute to a steel ring inside the plane. The line was to pull my parachute open after I jumped.   ""Get ready, Henry,"" Harry said. I moved carefully to the door. I wanted to cry, ""No, no, no!"" but no word came.   ""Jump!"" Harry called out loudly. ""Jump!""   To my surprise, kicking like a frog, I did jump. Away from the plane, and down, down I fell. It worked! The air seemed to hold me up. I was very happy.    Then I felt a quick pull. My big parachute had opened! It was like the best surprise I'd ever had. I looked down. There were rivers, trees, fields and houses. I heard the soft sound of the air. This was fun! How did the writer feel after he jumped out of the plane?",""
0,"[Warm-hearted., Rich., Serious., Outgoing.]","Justin Bieber's birthday wish has come true. The teenage star announced earlier this week that he wanted his fans to donate $17,000 to charity---so far the total of gifts that have poured in is more than $31000. ""I have had a great year and it is all because of the fans helping me live my dream,"" said the young singer. ""I'm turning 17 years old on Tuesday, and have so much to be grateful  for! So this year, I really want my birthday to be all about helping others. Instead of asking for gifts, I'm asking friends, family and fans to consider donating $17 for my 17thbirthday to help make a change."" Bieber asked his fans to donate to a charity that builds clean water projects in developing countries. ""Together, we've made a big difference for many causes. Did you know that about 4,500 kids die each day from waterborne diseases  ? By building clean water projects for villages that need them, we can prevent this! I want to make my birthday matter this year--- let's make it so more kids can grow up to have a 17thbirthday like me. Join me to make a change. ""I'm really so grateful for my family, friends and fans--- and I believe we can do something big to help bring clean water to people in need. Even if you don't have $17 to give I just ask you to go out in your community and try and make a positive difference. Even the smallest act of kindness can go a long way."" ,. What do you think of Justin Bieber?",""
0,"[a friendly atmosphere, dormitory beds for sale, reviews by previous guests, beds and bathrooms as well]","One of the main decisions you must make when traveling is deciding where to stay. A good place to stay can often make a holiday. Whether you are looking for a classy hotel or a night under the stars, we can guide you through your different options. Bed and Breakfast An English invention, bed and breakfasts offer exactly what they suggest, a bed for the night and breakfast in the morning. People who hate the anonymity of hotels but want more luxury than a hostel often choose to stay at bed and breakfasts. ""B&B's"", usually someone's private home, are often found in the countryside. Hostels For those traveling on a tight budget, hostels are the best accommodation option. Informal places usually with a friendly youthful vibe , they offer dormitory beds for rent. Bathrooms are usually down the hall. Remember to check reviews by previous guests online before you book your hostel. Couch Surfing An unusual but interesting option, couch surfing is a growing trend among young internationals. The idea is that you become a member of the online couch-surfing community (www. couchsurfing. com) and then when you travel, look up other members in that country and ask to stay on their couch  . Most hosts will suggest sightseeing trips and take you out in the evening, making it a great way to see things that aren't in your guidebook. And remember, it may be free but don't forget to offer to buy your host a drink or dinner. Camping Sleeping under the stars! For budget travelers staying at camping grounds is the cheapest way to travel. The drawback is that you have to carry a tent with you. Camping grounds can be found across Europe, America and Australia. However, if you intend on camping in busy cities, check first where the nearest campsite is. More often than not, they are on the outskirts, which can mean lengthy bus rides into town when you want to eat or see the sights. Hostels are popular among budget travelers because they provide    _  .",""
2,"[with his family, with Evelyn, alone, with his children]","I made a promise to myself on the way down to the vacation beach cottage. For two weeks I would try to be a loving husband and father. Totally loving. No ifs, ands or buts. The idea had come to me as I listened to a talk on my car radio. The speaker was quoting a Biblical passage about husbands and their wives. Then he went on to say, ""Love is an act of will. A person can choose to love."" To myself, I had to admit that I had been a selfish husband. Well, for two weeks that would change. And it did. On arriving at the beach cottage, I kissed Evelyn meeting me at the door and said, ""That new yellow sweater looks great on you."" ""Oh, Tom, you noticed"", she said, surprised and pleased. Maybe a little puzzled. After the long drive, I wanted to sit and read. Evelyn suggested a walk on the beach. I started to refuse, but then I thought, ""Evelyn's been alone here with the kids all week and now she wants to be alone with me."" We walked on the beach while the children flew their kites. So it went. Two weeks of not calling the Wall Street firm where I am a director; a visit to the shell museum though I usually hate museums. Relaxed and happy, that's how the whole vacation passed. I made a new promise to keep on remembering to choose love. There was one thing that went wrong with my experiment, however. Evelyn and I still laugh about it today. On the last night at our cottage, preparing for bed, Evelyn stared at me with the saddest expression. ""What's the matter?"" I asked her. ""Tom,"" she said in a voice filled with distress, ""I don't?"" ""What do you mean?"" ""Well...that checkup I had several weeks ago...our doctor...did he tell you something about me? Tom, you've been so good to me...am I dying?"" It took a moment for it all to be understood. Then I burst out laughing. ""No, honey,"" I said, wrapping her in my arms. ""You're not dying; I'm just starting to live."" From the story we may infer that Tom drove to the beach cottage   _  .",""
3,"[took him to travel around the world a lot, loved to take him to museums and stores, shared her childhood stories with him, gave him many gifts]","My grandmother Adele loved culture and was generous with its gifts. When I was a child, she took me to museums, restaurants, dances. She showered me with gifts from her travels around the world. But I can only remember her giving me one book--a book that, to this day, I have not read. She presented me with her own favorite childhood book: Hans Brinker. My grandmother was happy to share this book with me. She even decorated the title page with her proud writing. I tried to read it. I adored reading, and would dive into a new pile of books from the library all at once. But something about Hans Brinker just wouldn't let me in. The story was set in Holland, a long time ago. It felt dull and unfamiliar--even though I was a fan of classics of other times and places. I simply read the first pages over and over. I could not progress. Standing on a bookshelf in our living room, the book was like something I avoided. It scolded me for not being interested, for not trying hard enough, for disappointing my grandmother. The book started to fit in, almost forgotten, until Adele asked. Had I read it? Did I like it? Always determined, she wanted to know the answer. I would make some kind of excuse, feel bad, and open it again, hoping for a new reaction. _ . Years passed and finally Adele and I both accepted that I would never read Hans Brinker. Eventually I cleared the book from the shelf. The Hans Brinker experience led me to set a rule that I've lived by ever since: Do not ask about a book given as a gift. Don't ask, despite your desire to discuss it to grow closer. The desire for such connection is what gives book-giving with special meaning--and increases the owner's possibility to be a letdown. Guilt is basically the same as for all gifts, though. If the giver doesn't have the pleasure of seeing or hearing about the gift being enjoyed, and asks whether it is, then the owner--unless she can truthfully say ""yes""--either has to admit to not liking the present, or else lie on the spot. Neither is pleasant. So, don't ask. When the author was a kid, his grandmother   _  .",""
2,"[Read the instructions of the related mobile devices directly., Look for some Internet door to be sure we parents did not forget to lock it., Check out Google's SafeSearch Mobile support page for instructions., Check in the box with the label any mobile devices.]","Kids love the all-knowing Google. Your kids likely use Google to help them find everything from information for homework assignments, to funny cat videos, and everything in between. Sometimes kids can take a ""wrong turn"" on Google and end up in a dark part of the Internet where they shouldn't be. Thankfully, Google has some parental control features that parents can implement to at least help reduce the volume  of crap  that ends up in search results,which can enable you to help keep your curious kids from ending up on the wrong side of the tracks. What is Google SafeSearch? Google SafeSearch is one of the primary parental control options offered by Google to help parents police search results. SafeSearch helps to filter explicit content out of search results. It is mainly designed to target sexually explicit material (images and videos) and not violent content. How to Enable Google SafeSearch?1. From the ""Search Settings"" preferences page, place a check in the box with the label ""Filter explicit results"". 2. To lock this setting so that your child can't change it, click the ""Lock SafeSearch"" link. If you are not already logged into your Google account, you will need to do so in order to lock SafeSearch to the ""on"" position. Enable SafeSearch on Mobile Devices. In addition to your computer, you will probably also want to enable SafeSearch on any mobile device that your child uses regularly. For instructions on how to enable SafeSearch on a variety of mobile devices, check out Google's SafeSearch Mobile support page.  As we all know, kids are going to be kids and try to test their boundaries. We put up one roadblock and they go around it. It's a constant cat and mouse game and there will always be some internet door that we as parents forget to lock, and that will be the one that the kids get through, but we do the best we can. How do you enable SafeSearch on Mobile devices?",""
3,"[Two., Three., Four., Five.]","Accidents often happen. It's necessary for us to remember these tips. On your way home or to school: Wait for the green traffic light, and look left and right before you cross the road. If you see a car coming, don't cross until it really stops. At school: Never run around too fast at school. When students around you begin to push, try to hold something.  If you fall down in a crowed   place, cover your head with both hands. When there's a fire: Keep quiet and leave quickly. Use a piece of wet cloth to cover your mouth and nose so that you don't breathe in smoke. If your clothes catch fire, drop to the ground and roll   from side to side to put out the fire. For eating: Wash fruit like apples or pears carefully before you eat it. And if your food looks or smells bad, don't eat it. About strange invitations: If an Internet friend asks to meet you, tell your parents about it. Don't go alone. How many tips does the passage tell us?",""
0,"[refuse to determine the merits of this suit, because there is no case or controversy. , refuse to issue such a declaratory judgment, because an issue of this kind involving only a local election does not present a substantial federal constitutional question. , issue the declaratory judgment, because a residency requirement of this type is a denial of the equal protection of the laws. , issue the declaratory judgment, because Candidate will have substantially complied with the residency requirement. ]","An ordinance of the city of Green requires that its mayor must have been continuously a resident of the city for at least five years at the time he or she takes office. Candidate, who is thinking about running for mayor in an election that will take place next year, will have been a resident of Green for only four and one-half years at the time the mayor elected then takes office. Before he decides whether to run for the position of mayor, Candidate wants to know whether he could lawfully assume that position if he were elected. As a result, Candidate files suit in the local federal district court for a declaratory judgment that the Green five-year-residence requirement is unconstitutional and that he is entitled to a place on his political party's primary election ballot for mayor. He names the chairman of his political party as the sole defendant but does not join any election official. The chairman responds by joining Candidate in requesting the court to declare the Green residence requirement invalid. In this case, the court should ",""
2,"[Pierre, three jackets, a huge room with beautiful ice shapes on the walls, a horrible bug monster]","Once there was a group of adventurers who went on an adventure in a place named Hyperion where there was a lot of snow. Their names were Thor, Bravos, and Pierre. Thor and Bravos were from Norway, but Pierre was from Paris, France. Because of where he was from, he wasn't used to the cold. To stay warm, Pierre wore three jackets. One day during their adventure the men saw a strange cave. Thor and Bravos wanted to go inside, but Pierre was afraid. He had heard that a horrible bug monster named Vlastos lived in the caves of Hyperion. Thor and Bravos told him that was only a fairy tale. They told him the only thing he really needed to worry about was hitting his head on a rock in the cave. Finally they got Pierre to go into the cave. Inside there were lots of tunnels. They chose the middle tunnel. The tunnel went down into the earth. After a long time it ended. The men were in a huge room. There were beautiful ice shapes on the walls. What did the adventurers find at the end of the tunnel?",""
2,"[A mirror., A good friend, He's tall and has short hair., Reading books]","Hello, everyone! My name is Peter. I think a good friend is like a mirror. I'm tall and have short hair. My best friend Jack looks similar to me. I'm quiet and like reading books. He likes reading, too. So we often spend time together reading and studying. I like sports. I play basketball very well and he is good at playing basketball too. I don't think it's easy for me to make friends because I'm quieter than most of the other boys. But I think friends are like books--you don't need a lot of them as, long as they're good. Read and answer the questions(, ) What does Peter look like?",""
3,"[how to spend money from experience, when to avoid making mistakes, what they should do next at a young age, what they can do with money earned]","Children's allowance. Many children first learn the value of money by receiving an allowance . The purpose is to let them learn from experience at an age when financial (;;)mistakes are not very costly. In any case, parents should make clear what the child is expected to pay for with the money. At first, young children may spend all of their allowance soon after they receive it. If so, they'll learn the hard way that spending must be done within a budget . Parents are usually advised not to offer more money until the next allowance. It is to show them that a budget demands choices between spending and saving. Many people who have written on the subject of allowances say it is not a good idea to pay your child for work around the home. These jobs are a normal part of family life. Paying children to do extra work around the house, however, can be useful. It can even provide an understanding of how a business works. Allowances give children a chance to experience what they can do with money. They can share it in the form of gifts or give it to a good cause. They can spend it by buying things they want. Or they can save it. Saving helps children understand that costly goals require sacrifice: They have to cut costs and plan for the future. Requiring children to save part of their allowance can also open the door to future saving and investing. Many banks offer services to help children learn about personal finance. By receiving an allowance, children can learn   _  .",""
0,"[Because the carrier is designed for researching purposes, rather than comfortable living., Because the carrier is small., Because It has all the functions for daily life., Because the whole corridor could reach over 20 kilometers.]","It's a long-awaited day for China. The navy now has its first aircraft carrier , Liaoning. It's a unique experience to get to know the life in the carrier. The carrier is just like a small city on the sea. It has all the functions for daily life. There are 4 words to sum up its characters: big, small, much and high. The carrier Liaoning is such a huge one that the total length of the whole corridor could reach over 20 kilometers. But the living space for the sailors is quite small. That's because the carrier is designed for researching purposes, rather than comfortable living. Over 1,000 sailors, both men and women, are living onboard. They are arranged among over 3,000 tiny rooms below the deck.. For visitors, it's so easy to get lost. So the first thing the new sailors have to learn is their way around. The number of female sailors is much less than that of the males, taking about 5 percent of the total. But they play a key role in carrying out some special missions. Also, you will be surprised by the high level of education of today's sailors. The captain said that over 90 percent of the sailors are college graduates. Six hold Doctor's Degrees and 45 have a Master's. The whole team is young but vigorous. The complex work on the carrier requires high management abilities for the commanders onboard . Why is the living space for the sailors quite small?",""
0,"[his shoes were still there, but the shoemaker didn't repair them, his shoes were not there, the shoemaker repaired the shoes, the shoemaker lost the shoes]","Quick Service A man took a pair of shoes to a shoe repair shop and said to the shoemaker, ""I'd like you to repair these shoes for me, please."" ""Certainly, sir."" the shoemaker said. ""When will they be ready?"" the man asked. ""I'm a bit busy, but they will be ready for you on Thursday,"" he said. ""That's fine."" the man said and left the shop. The next morning he received a letter, offering him a job in another country. Within 24 hours he was on an airplane to his new job. Twenty years passed and he returned to his hometown. He remembered his shoes. ""They were a good pair of shoes,"" he thought, ""I wonder if the shoemaker is still there and still has them. I'll go and see. "" The same shop, although he was an old man by now. ""Good morning. "" he said to the shoe maker, ""Twenty years ago, I brought in a pair of shoes. Do you still have them?"" ""Name?"" the old shoemaker asked. ""Smith."" the man said. ""I'll go and see. They may be in the back."" The shoemaker went out to the back of his shop and a few minutes later returned, carrying a pair of shoes. ""Here they are."" he said, ""One pair of brown shoes. I'm a bit busy now, but they'll be ready on Thursday."" The man finally found that   _  .",""
2,"[helping parents and educators educate children, providing parents with authoritative information, providing children with some cheating skills, giving parents some useful articles]","Children don't come with an instruction manual  ,but now their grades in school do! Finally,parents can stop worrying about what their child's next school year will bring and get a glimpse of what's coming. Education.com,an easy-to-use,one-stop online destination with over 4,000 articles,that helps parents and educators take an ever more active role in their children's education,unveiled Grade Specific Cheat Sheets for grades pre-school through grade 5.From academic expectations,developmental milestones,and typical social issues,to fun learning activities that literally bring it all home,parents can now find it all in one place. ""As the school year approaches,parents struggle to find time to adequately prepare themselves and their children for what's ahead,"" said Ron Fortune,CEO of Education.com.""Every grade is different.Whether it's helping parents understand what their third grader should be reading or how they should be talking to their teen about peer pressure,our goal is to provide parents with a grade and developmental stage-specific user manual that helps parents find authoritative information as quickly as possible."" The start of a new grade means many new questions.Now,a parent with a child about to embark   on a new school year can go to Education.com's new Grade Specific Cheat Sheets and find age-specific information and content including what their child should be learning in math,reading,writing,and science,as well as physical and language milestones.Parents can find over forty articles per grade,on everything from peer relationships to self-esteem,how gender affects development,to ideas for using goldfish crackers for math practice or making a homemade fossil. Education.com's new Grade Specific Cheat Sheets provide parents with articles and content from trusted sources such as teachers,child psychologists,parents,and guidance counselors. The goals of Education.com are the following except   _  .",""
